Quarter,Ticker,Net Profit Margin %,Operating Margin %,EPS (Basic),P/E Ratio,Return on Equity,EBITDA Margin %,Debt to Equity Ratio,Current Ratio,Working Capital Turnover,USD Exchange Rate,FDI:GDP %,GDP Growth %,Sectoral IIP,Sectoral IIP (Growth Rate),Inflation,Interest Rate,Next Quarter Adj Close,Inter Quarter Gain %
Q1-18,AMBUJACEM.ns,16.549,65.47,2.51,99.861,2.376,22.441,0.002,1.545,1.49,66.99,2.6,7.56,139.7,8.323,4.791,6.25,193.5306549,-9.9
Q2-18,AMBUJACEM.ns,6.833,60.935,0.9,256.333,0.85,10.345,0.002,1.545,1.291,70.152,2.065,6.49,137.3,6.655,3.854,6.5,188.7246399,-2.48
Q3-18,AMBUJACEM.ns,18.767,61.878,2.71,72.749,2.557,12.305,0.002,1.545,1.414,72.073,2.141,6.33,141.833,12.507,2.604,6.5,206.6942139,9.52
Q4-18,AMBUJACEM.ns,14.585,61.279,2.15,97.628,1.923,19.54,0.002,1.54,1.219,70.478,1.856,5.84,147.9,12.244,2.465,6.25,181.372818,-12.25
Q1-19,AMBUJACEM.ns,13.835,64.102,2.08,106.01,1.856,21.002,0.002,1.54,1.241,69.546,3.369,5.39,140.2,0.358,3.072,5.75,183.4343872,1.14
Q2-19,AMBUJACEM.ns,8.934,62.67,1.18,171.102,1.057,14.076,0.002,1.54,1.094,70.429,2.064,4.61,132.8,-3.277,3.473,5.4,183.792923,0.2
Q3-19,AMBUJACEM.ns,14.506,61.686,2.29,88.341,2.049,14.807,0.002,1.54,1.306,71.228,2.618,3.28,136.933,-3.455,5.835,5.15,171.6924286,-6.58
Q4-19,AMBUJACEM.ns,14.115,65.137,2.01,101.741,1.964,19.574,0.002,0.975,-25.085,72.384,2.877,3.01,136.433,-7.753,6.668,4.4,192.222229,11.96
Q1-14,ASHOKLEY.ns,-1.97,15.287,-0.18,-123.611,-1.078,1.474,0.873,0.841,-3.33,59.797,1.956,8.02,117.9,5.803,7.85,8,43.93884277,43.76
Q2-14,ASHOKLEY.ns,3.831,17.341,0.42,81.31,2.713,4.984,0.873,0.841,-4.309,60.606,2.088,8.7,114.733,5.389,6.675,8,56.09749222,27.67
Q3-14,ASHOKLEY.ns,0.975,17.28,0.11,422.273,0.721,4.79,0.873,0.841,-4.501,61.933,1.797,5.92,116.6,8.836,4.051,8,59.91277695,6.8
Q4-14,ASHOKLEY.ns,5.185,19.873,0.81,81.111,4.493,8.663,0.506,0.932,-12.95,62.238,2.345,7.11,118.567,0.339,5.272,7.5,75.71905518,26.38
Q1-15,ASHOKLEY.ns,3.828,23.105,0.51,136.471,2.823,7.591,0.506,0.932,-11.022,63.471,2.663,7.59,120.467,2.177,5.092,7.25,79.70925903,5.27
Q2-15,ASHOKLEY.ns,3.53,22.741,0.61,138.443,3.364,11.035,0.506,0.932,-14.244,64.975,1.915,8.03,117.533,2.44,3.949,6.75,74.00970459,-7.15
Q3-15,ASHOKLEY.ns,5.303,21.655,0.75,124.933,4.175,8.882,0.506,0.932,-11.764,65.924,3.235,7.2,114.933,-1.429,5.339,6.75,91.99494171,24.3
Q4-15,ASHOKLEY.ns,-2.357,24.014,-0.49,-182.857,-2.604,11.828,0.341,1.059,20.543,67.504,2.531,9.09,125.2,5.595,5.259,6.75,73.92527008,-19.64
